state,00,01,02,10,11,12,20,21,22
"[[-1, 0, 0], [1, 0, -1], [-1, 1, 0]]",,-1.0,0.0,,-4.0,,,,0.0
"[[-1, 0, 0], [1, 0, -1], [0, 1, -1]]",,0.0,0.0,,-1.0,,0.0,,
"[[-1, 0, 0], [1, 0, -1], [-1, 0, 1]]",,0.0,0.0,,0.0,,,0.0,
"[[-1, 0, 0], [1, 0, -1], [0, -1, 1]]",,0.0,0.0,,0.0,,0.0,,
"[[-1, 0, 0], [1, 1, 0], [-1, -1, 0]]",,-1.0,-2.0,,,-22.0,,,-1.0
"[[-1, 0, 0], [1, 1, 0], [-1, 0, -1]]",,-4.0,-3.0,,,-4.0,,-4.0,
"[[-1, 0, 0], [1, 0, 1], [-1, -1, 0]]",,-2.0,-3.0,,-12.0,,,,-4.0
"[[-1, 0, 0], [1, 0, 1], [-1, 0, -1]]",,-2.0,-1.0,,-4.0,,,-2.0,
"[[-1, 0, 0], [1, 0, 0], [-1, 1, -1]]",,-6.0,0.0,,-7.0,-5.0,,,
"[[-1, 0, 0], [1, 0, 0], [-1, -1, 1]]",,0.0,-1.0,,-3.0,-3.0,,,
"[[-1, 0, 0], [1, 1, 0], [0, -1, -1]]",,0.0,-3.0,,,-18.0,-4.0,,
"[[-1, 0, 0], [1, 0, 1], [0, -1, -1]]",,-2.0,-4.0,,-16.0,,-6.0,,
"[[-1, 0, 0], [1, 0, 0], [1, -1, -1]]",,0.0,-2.0,,-5.0,-4.0,,,
"[[-1, -1, 0], [-1, 1, 1], [0, 0, 0]]",,,-2.0,,,,-3.0,0.0,0.0
"[[-1, -1, 0], [0, 1, 1], [-1, 0, 0]]",,,-5.0,-14.0,,,,-2.0,-2.0
"[[-1, -1, 0], [0, 1, 1], [0, -1, 0]]",,,-10.0,-20.0,,,-9.0,,-5.0
"[[-1, -1, 0], [0, 1, 1], [0, 0, -1]]",,,-2.0,-18.0,,,-8.0,0.0,
"[[-1, -1, 0], [-1, 1, 0], [1, 0, 0]]",,,-14.0,,,-2.0,,-5.0,-4.0
"[[-1, -1, 0], [0, 1, -1], [1, 0, 0]]",,,-4.0,-2.0,,,,-2.0,-3.0
"[[-1, -1, 0], [0, 1, 0], [1, -1, 0]]",,,-10.0,-2.0,,-3.0,,,-3.0
"[[-1, -1, 0], [0, 1, 0], [1, 0, -1]]",,,-22.0,-4.0,,-5.0,,-2.0,
"[[-1, -1, 0], [-1, 1, 0], [0, 1, 0]]",,,-1.0,,,0.0,-3.0,,-2.0
"[[-1, -1, 0], [0, 1, -1], [0, 1, 0]]",,,0.0,0.0,,,-2.0,,-2.0
"[[-1, -1, 0], [0, 1, 0], [-1, 1, 0]]",,,0.0,-2.0,,-4.0,,,0.0
"[[-1, -1, 0], [0, 1, 0], [0, 1, -1]]",,,-3.0,-3.0,,-3.0,-2.0,,
"[[-1, -1, 0], [-1, 1, 0], [0, 0, 1]]",,,-1.0,,,-2.0,-3.0,-2.0,
"[[-1, -1, 0], [0, 1, -1], [0, 0, 1]]",,,-4.0,0.0,,,0.0,0.0,
"[[-1, -1, 0], [0, 1, 0], [-1, 0, 1]]",,,-2.0,-2.0,,-2.0,,0.0,
"[[-1, -1, 0], [0, 1, 0], [0, -1, 1]]",,,-6.0,-4.0,,-6.0,-7.0,,
"[[-1, 0, -1], [-1, 1, 1], [0, 0, 0]]",,-2.0,,,,,0.0,0.0,0.0
"[[-1, 0, -1], [0, 1, 1], [-1, 0, 0]]",,-2.0,,-10.0,,,,-4.0,-2.0
"[[-1, 0, -1], [0, 1, 1], [0, -1, 0]]",,0.0,,-12.0,,,-1.0,,0.0
"[[-1, 0, -1], [0, 1, 1], [0, 0, -1]]",,-4.0,,-12.0,,,-1.0,-2.0,
"[[-1, 0, -1], [-1, 1, 0], [1, 0, 0]]",,-1.0,,,,0.0,,-1.0,-1.0
"[[-1, 0, -1], [0, 1, -1], [1, 0, 0]]",,-2.0,,0.0,,,,-4.0,-1.0
"[[-1, 0, -1], [0, 1, 0], [1, -1, 0]]",,0.0,,-2.0,,0.0,,,0.0
"[[-1, 0, -1], [0, 1, 0], [1, 0, -1]]",,0.0,,0.0,,-2.0,,-2.0,
"[[-1, 0, -1], [-1, 1, 0], [0, 1, 0]]",,-6.0,,,,-2.0,-3.0,,-4.0
"[[-1, 0, -1], [0, 1, -1], [0, 1, 0]]",,-2.0,,-1.0,,,-3.0,,-2.0
"[[-1, 0, -1], [0, 1, 0], [-1, 1, 0]]",,-4.0,,-4.0,,-4.0,,,-2.0
"[[-1, 0, -1], [0, 1, 0], [0, 1, -1]]",,-4.0,,-7.0,,-5.0,-2.0,,
"[[-1, 0, -1], [-1, 1, 0], [0, 0, 1]]",,0.0,,,,0.0,0.0,-1.0,
"[[-1, 0, -1], [0, 1, -1], [0, 0, 1]]",,-2.0,,0.0,,,-2.0,-6.0,
"[[-1, 0, -1], [0, 1, 0], [-1, 0, 1]]",,-2.0,,-1.0,,-1.0,,-3.0,
"[[-1, 0, -1], [0, 1, 0], [0, -1, 1]]",,0.0,,0.0,,0.0,0.0,,
"[[-1, 0, 0], [-1, 1, 1], [0, -1, 0]]",,0.0,-3.0,,,,-1.0,,0.0
"[[-1, 0, 0], [-1, 1, 1], [0, 0, -1]]",,-1.0,-2.0,,,,0.0,-2.0,
"[[-1, 0, 0], [-1, 1, -1], [1, 0, 0]]",,-2.0,-10.0,,,,,-6.0,-5.0
"[[-1, 0, 0], [-1, 1, 0], [1, -1, 0]]",,-2.0,-4.0,,,-4.0,,,-1.0
"[[-1, 0, 0], [-1, 1, 0], [1, 0, -1]]",,-6.0,-10.0,,,-2.0,,-4.0,
"[[-1, 0, 0], [-1, 1, -1], [0, 1, 0]]",,-8.0,-2.0,,,,-7.0,,-3.0
"[[-1, 0, 0], [-1, 1, 0], [0, 1, -1]]",,-14.0,-4.0,,,-2.0,-2.0,,
"[[-1, 0, 0], [-1, 1, -1], [0, 0, 1]]",,-3.0,-4.0,,,,-3.0,-4.0,
"[[-1, 0, 0], [-1, 1, 0], [0, -1, 1]]",,0.0,-2.0,,,-2.0,-1.0,,
"[[-1, 0, 0], [0, 1, -1], [1, -1, 0]]",,-3.0,-6.0,-1.0,,,,,-1.0
"[[-1, 0, 0], [0, 1, -1], [1, 0, -1]]",,-3.0,-8.0,0.0,,,,-5.0,
"[[-1, 0, 0], [0, 1, -1], [-1, 1, 0]]",,-2.0,-1.0,-1.0,,,,,0.0
"[[-1, 0, 0], [0, 1, -1], [0, 1, -1]]",,-10.0,-1.0,0.0,,,-3.0,,
"[[-1, 0, 0], [0, 1, -1], [-1, 0, 1]]",,0.0,0.0,0.0,,,,0.0,
"[[-1, 0, 0], [0, 1, -1], [0, -1, 1]]",,0.0,0.0,0.0,,,-1.0,,
"[[-1, 0, 0], [0, 1, 1], [-1, -1, 0]]",,-3.0,-3.0,-8.0,,,,,-4.0
"[[-1, 0, 0], [0, 1, 1], [-1, 0, -1]]",,0.0,-2.0,-8.0,,,,-3.0,
"[[-1, 0, 0], [0, 1, 0], [-1, 1, -1]]",,-8.0,-1.0,-1.0,,-1.0,,,
"[[-1, 0, 0], [0, 1, 0], [-1, -1, 1]]",,0.0,-1.0,-2.0,,-5.0,,,
"[[-1, 0, 0], [0, 1, 1], [0, -1, -1]]",,0.0,-2.0,-10.0,,,-7.0,,
"[[-1, 0, 0], [0, 1, 0], [1, -1, -1]]",,-2.0,-8.0,-2.0,,-3.0,,,
"[[-1, -1, 0], [-1, 0, 1], [1, 0, 0]]",,,-16.0,,-3.0,,,-7.0,-10.0
"[[-1, -1, 0], [0, -1, 1], [1, 0, 0]]",,,-1.0,0.0,,,,0.0,-1.0
"[[-1, -1, 0], [0, 0, 1], [1, -1, 0]]",,,-6.0,-5.0,-5.0,,,,-6.0
"[[-1, -1, 0], [0, 0, 1], [1, 0, -1]]",,,-3.0,-1.0,-2.0,,,0.0,
"[[-1, -1, 0], [-1, 0, 1], [0, 1, 0]]",,,-3.0,,0.0,,-1.0,,-9.0
"[[-1, -1, 0], [0, -1, 1], [0, 1, 0]]",,,-5.0,0.0,,,-1.0,,-4.0
"[[-1, -1, 0], [0, 0, 1], [-1, 1, 0]]",,,-2.0,-3.0,-2.0,,,,-4.0
"[[-1, -1, 0], [0, 0, 1], [0, 1, -1]]",,,0.0,-2.0,-1.0,,0.0,,
"[[-1, -1, 0], [-1, 0, 1], [0, 0, 1]]",,,-14.0,,-2.0,,-3.0,-3.0,
"[[-1, -1, 0], [0, -1, 1], [0, 0, 1]]",,,-16.0,-2.0,,,-3.0,-6.0,
"[[-1, -1, 0], [0, 0, 1], [-1, 0, 1]]",,,-10.0,-4.0,-4.0,,,-2.0,
"[[-1, -1, 0], [0, 0, 1], [0, -1, 1]]",,,-8.0,-1.0,-3.0,,0.0,,
"[[-1, 0, -1], [-1, 0, 1], [1, 0, 0]]",,0.0,,,0.0,,,-1.0,-1.0
"[[-1, 0, -1], [0, -1, 1], [1, 0, 0]]",,0.0,,0.0,,,,-2.0,-1.0
"[[-1, 0, -1], [0, 0, 1], [1, -1, 0]]",,0.0,,0.0,-2.0,,,,0.0
"[[-1, 0, -1], [0, 0, 1], [1, 0, -1]]",,0.0,,0.0,-3.0,,,0.0,
"[[-1, 0, -1], [-1, 0, 1], [0, 1, 0]]",,-1.0,,,-3.0,,-2.0,,-3.0
"[[-1, 0, -1], [0, -1, 1], [0, 1, 0]]",,0.0,,0.0,,,-1.0,,-2.0
"[[-1, 0, -1], [0, 0, 1], [-1, 1, 0]]",,0.0,,0.0,-2.0,,,,0.0
"[[-1, 0, -1], [0, 0, 1], [0, 1, -1]]",,-1.0,,-1.0,-8.0,,0.0,,
"[[-1, 0, -1], [-1, 0, 1], [0, 0, 1]]",,0.0,,,0.0,,-1.0,-1.0,
"[[-1, 0, -1], [0, -1, 1], [0, 0, 1]]",,0.0,,0.0,,,-2.0,-1.0,
"[[-1, 0, -1], [0, 0, 1], [-1, 0, 1]]",,0.0,,0.0,-3.0,,,0.0,
"[[-1, 0, -1], [0, 0, 1], [0, -1, 1]]",,0.0,,0.0,0.0,,0.0,,
"[[-1, 0, 0], [-1, -1, 1], [1, 0, 0]]",,0.0,-1.0,,,,,0.0,-5.0
"[[-1, 0, 0], [-1, 0, 1], [1, -1, 0]]",,0.0,-3.0,,0.0,,,,-2.0
"[[-1, 0, 0], [-1, 0, 1], [1, 0, -1]]",,0.0,-2.0,,-4.0,,,0.0,
"[[-1, 0, 0], [-1, -1, 1], [0, 1, 0]]",,0.0,0.0,,,,-1.0,,-5.0
"[[-1, 0, 0], [-1, 0, 1], [0, 1, -1]]",,-3.0,0.0,,-2.0,,0.0,,
"[[-1, 0, 0], [-1, -1, 1], [0, 0, 1]]",,-1.0,-24.0,,,,-3.0,-1.0,
"[[-1, 0, 0], [-1, 0, 1], [0, -1, 1]]",,-1.0,-12.0,,-4.0,,-1.0,,
"[[-1, 0, 0], [0, -1, 1], [1, -1, 0]]",,0.0,-2.0,0.0,,,,,-1.0
"[[-1, 0, 0], [0, -1, 1], [-1, 1, 0]]",,0.0,-2.0,0.0,,,,,-1.0
"[[-1, 0, 0], [0, -1, 1], [-1, 0, 1]]",,0.0,-4.0,-1.0,,,,0.0,
"[[-1, 0, 0], [0, -1, 1], [0, -1, 1]]",,-2.0,-8.0,-1.0,,,0.0,,
"[[-1, 0, 0], [0, 0, 1], [-1, 1, -1]]",,-1.0,0.0,-2.0,-2.0,,,,
"[[-1, 0, 0], [0, 0, 1], [-1, -1, 1]]",,-1.0,-16.0,-3.0,-4.0,,,,
"[[-1, 0, 0], [0, 0, 1], [1, -1, -1]]",,0.0,-4.0,-2.0,-1.0,,,,
"[[-1, -1, 0], [-1, 0, 0], [1, 1, 0]]",,,-8.0,,-3.0,-2.0,,,-14.0
"[[-1, -1, 0], [0, -1, 0], [1, 1, 0]]",,,-4.0,-2.0,,-1.0,,,-10.0
"[[-1, -1, 0], [0, 0, -1], [1, 1, 0]]",,,-8.0,-3.0,-6.0,,,,-24.0
"[[-1, -1, 0], [0, 0, 0], [1, 1, -1]]",,,-2.0,0.0,-3.0,0.0,,,
"[[-1, -1, 0], [-1, 0, 0], [1, 0, 1]]",,,-7.0,,-7.0,-6.0,,-34.0,
"[[-1, -1, 0], [0, -1, 0], [1, 0, 1]]",,,-3.0,-3.0,,-3.0,,-12.0,
"[[-1, -1, 0], [0, 0, -1], [1, 0, 1]]",,,-7.0,-2.0,-3.0,,,-16.0,
"[[-1, -1, 0], [0, 0, 0], [1, -1, 1]]",,,-4.0,0.0,-2.0,-2.0,,,
"[[-1, 0, -1], [-1, 0, 0], [1, 1, 0]]",,-3.0,,,-2.0,-1.0,,,-10.0
"[[-1, 0, -1], [0, -1, 0], [1, 1, 0]]",,0.0,,0.0,,-1.0,,,-2.0
"[[-1, 0, -1], [0, 0, -1], [1, 1, 0]]",,-2.0,,0.0,-4.0,,,,-12.0
"[[-1, 0, -1], [0, 0, 0], [1, 1, -1]]",,-2.0,,0.0,-1.0,0.0,,,
"[[-1, 0, -1], [-1, 0, 0], [1, 0, 1]]",,-1.0,,,0.0,-1.0,,-12.0,
"[[-1, 0, -1], [0, -1, 0], [1, 0, 1]]",,-2.0,,-1.0,,-1.0,,-10.0,
"[[-1, 0, -1], [0, 0, -1], [1, 0, 1]]",,-4.0,,-2.0,0.0,,,-8.0,
"[[-1, 0, -1], [0, 0, 0], [1, -1, 1]]",,0.0,,0.0,0.0,0.0,,,
"[[-1, 0, 0], [-1, -1, 0], [1, 1, 0]]",,-3.0,-1.0,,,-2.0,,,-20.0
"[[-1, 0, 0], [-1, 0, -1], [1, 1, 0]]",,-3.0,-3.0,,-4.0,,,,-22.0
"[[-1, 0, 0], [-1, 0, 0], [1, 1, -1]]",,-5.0,-4.0,,-1.0,0.0,,,
"[[-1, 0, 0], [-1, -1, 0], [1, 0, 1]]",,-2.0,-4.0,,,-2.0,,-14.0,
"[[-1, 0, 0], [-1, 0, -1], [1, 0, 1]]",,0.0,-3.0,,-3.0,,,-16.0,
"[[-1, 0, 0], [-1, 0, 0], [1, -1, 1]]",,0.0,-5.0,,-2.0,-3.0,,,
"[[-1, 0, 0], [0, -1, -1], [1, 1, 0]]",,0.0,-1.0,-4.0,,,,,-8.0
"[[-1, 0, 0], [0, -1, -1], [1, 0, 1]]",,-1.0,-1.0,-2.0,,,,-12.0,
"[[-1, 0, 0], [0, -1, 0], [1, -1, 1]]",,0.0,-1.0,0.0,,0.0,,,
"[[-1, 0, 0], [0, 0, -1], [1, 1, -1]]",,-2.0,-1.0,0.0,-6.0,,,,
"[[-1, 0, 0], [0, 0, -1], [1, -1, 1]]",,0.0,-1.0,0.0,-1.0,,,,
"[[-1, -1, 0], [-1, 0, 0], [0, 1, 1]]",,,-7.0,,-5.0,-9.0,-18.0,,
"[[-1, -1, 0], [0, -1, 0], [0, 1, 1]]",,,-8.0,-4.0,,-8.0,-24.0,,
"[[-1, -1, 0], [0, 0, -1], [0, 1, 1]]",,,-2.0,-2.0,-2.0,,-22.0,,
"[[-1, -1, 0], [0, 0, 0], [-1, 1, 1]]",,,-2.0,0.0,0.0,-1.0,,,
"[[-1, 0, -1], [-1, 0, 0], [0, 1, 1]]",,-4.0,,,-1.0,-1.0,-8.0,,
"[[-1, 0, -1], [0, -1, 0], [0, 1, 1]]",,-3.0,,-1.0,,-2.0,-12.0,,
"[[-1, 0, -1], [0, 0, -1], [0, 1, 1]]",,-2.0,,-2.0,-4.0,,-12.0,,
"[[-1, 0, -1], [0, 0, 0], [-1, 1, 1]]",,-1.0,,0.0,-1.0,0.0,,,
"[[-1, 0, 0], [-1, -1, 0], [0, 1, 1]]",,0.0,-1.0,,,-6.0,-2.0,,
"[[-1, 0, 0], [-1, 0, -1], [0, 1, 1]]",,-1.0,-2.0,,-3.0,,-6.0,,
"[[-1, 0, 0], [0, -1, -1], [0, 1, 1]]",,0.0,-2.0,0.0,,,-4.0,,
"[[-1, 0, 0], [0, -1, 0], [-1, 1, 1]]",,0.0,-2.0,0.0,,-3.0,,,
"[[-1, 0, 0], [0, 0, -1], [-1, 1, 1]]",,0.0,0.0,0.0,-1.0,,,,
"[[1, -1, -1], [1, -1, 0], [0, 0, 0]]",,,,,,-1.0,-12.0,-3.0,0.0
"[[1, -1, -1], [1, 0, -1], [0, 0, 0]]",,,,,-3.0,,-12.0,-2.0,-6.0
"[[1, -1, -1], [1, 0, 0], [-1, 0, 0]]",,,,,-9.0,-4.0,,0.0,-1.0
"[[1, -1, -1], [1, 0, 0], [0, -1, 0]]",,,,,-12.0,-10.0,-32.0,,-10.0
"[[1, -1, -1], [1, 0, 0], [0, 0, -1]]",,,,,-3.0,-3.0,-12.0,-2.0,
"[[1, -1, -1], [-1, 1, 0], [0, 0, 0]]",,,,,,-4.0,-2.0,-2.0,-16.0
"[[1, -1, -1], [0, 1, -1], [0, 0, 0]]",,,,-7.0,,,-4.0,-2.0,-8.0
"[[1, -1, -1], [0, 1, 0], [-1, 0, 0]]",,,,-4.0,,-3.0,,-3.0,-10.0
"[[1, -1, -1], [0, 1, 0], [0, -1, 0]]",,,,-8.0,,-9.0,-9.0,,-26.0
"[[1, -1, -1], [0, 1, 0], [0, 0, -1]]",,,,-1.0,,-2.0,-4.0,0.0,
"[[1, -1, -1], [-1, 0, 1], [0, 0, 0]]",,,,,-4.0,,0.0,0.0,-5.0
"[[1, -1, -1], [0, -1, 1], [0, 0, 0]]",,,,-3.0,,,-3.0,0.0,0.0
"[[1, -1, -1], [0, 0, 1], [-1, 0, 0]]",,,,-1.0,-5.0,,,0.0,-2.0
"[[1, -1, -1], [0, 0, 1], [0, -1, 0]]",,,,-6.0,-8.0,,-2.0,,-7.0
"[[1, -1, -1], [0, 0, 1], [0, 0, -1]]",,,,-10.0,-5.0,,-1.0,0.0,
"[[1, -1, -1], [-1, 0, 0], [1, 0, 0]]",,,,,-3.0,0.0,,-1.0,-4.0
"[[1, -1, -1], [0, -1, 0], [1, 0, 0]]",,,,-10.0,,-2.0,,-5.0,-3.0
"[[1, -1, -1], [0, 0, -1], [1, 0, 0]]",,,,-26.0,-6.0,,,-9.0,-9.0
"[[1, -1, -1], [0, 0, 0], [1, -1, 0]]",,,,-18.0,-11.0,-3.0,,,-6.0
"[[1, -1, -1], [0, 0, 0], [1, 0, -1]]",,,,-12.0,-3.0,-4.0,,-1.0,
"[[1, -1, -1], [-1, 0, 0], [0, 1, 0]]",,,,,-1.0,0.0,-5.0,,-1.0
"[[1, -1, -1], [0, -1, 0], [0, 1, 0]]",,,,-1.0,,0.0,-11.0,,-3.0
"[[1, -1, -1], [0, 0, -1], [0, 1, 0]]",,,,-3.0,-6.0,,-8.0,,-7.0
"[[1, -1, -1], [0, 0, 0], [-1, 1, 0]]",,,,0.0,-1.0,0.0,,,-3.0
"[[1, -1, -1], [0, 0, 0], [0, 1, -1]]",,,,-4.0,0.0,0.0,-3.0,,
"[[1, -1, -1], [-1, 0, 0], [0, 0, 1]]",,,,,-18.0,-4.0,-4.0,-2.0,
"[[1, -1, -1], [0, -1, 0], [0, 0, 1]]",,,,-1.0,,0.0,-4.0,-2.0,
"[[1, -1, -1], [0, 0, -1], [0, 0, 1]]",,,,-8.0,-34.0,,-15.0,-9.0,
"[[1, -1, -1], [0, 0, 0], [-1, 0, 1]]",,,,-2.0,-16.0,-2.0,,-2.0,
"[[1, -1, -1], [0, 0, 0], [0, -1, 1]]",,,,-3.0,-4.0,-2.0,-6.0,,
"[[1, -1, 1], [-1, -1, 0], [0, 0, 0]]",,,,,,0.0,0.0,0.0,-2.0
"[[1, -1, 1], [-1, 0, -1], [0, 0, 0]]",,,,,-9.0,,-2.0,0.0,-2.0
"[[1, -1, 1], [-1, 0, 0], [-1, 0, 0]]",,,,,-2.0,-1.0,,0.0,-3.0
"[[1, -1, 1], [-1, 0, 0], [0, -1, 0]]",,,,,-11.0,-4.0,-5.0,,-12.0
"[[1, -1, 1], [-1, 0, 0], [0, 0, -1]]",,,,,-3.0,0.0,-1.0,0.0,
"[[1, -1, 0], [-1, 1, -1], [0, 0, 0]]",,,-1.0,,,,-4.0,-1.0,-8.0
"[[1, -1, 0], [-1, 1, 0], [-1, 0, 0]]",,,-2.0,,,-1.0,,-4.0,-22.0
"[[1, -1, 0], [-1, 1, 0], [0, -1, 0]]",,,-5.0,,,-5.0,-8.0,,-16.0
"[[1, -1, 0], [-1, 1, 0], [0, 0, -1]]",,,0.0,,,0.0,-2.0,0.0,
"[[1, -1, 0], [-1, -1, 1], [0, 0, 0]]",,,0.0,,,,0.0,0.0,0.0
"[[1, -1, 0], [-1, 0, 1], [-1, 0, 0]]",,,-4.0,,-1.0,,,0.0,-8.0
"[[1, -1, 0], [-1, 0, 1], [0, -1, 0]]",,,-1.0,,-5.0,,0.0,,-6.0
"[[1, -1, 0], [-1, 0, 1], [0, 0, -1]]",,,0.0,,0.0,,0.0,0.0,
"[[1, -1, 0], [-1, -1, 0], [1, 0, 0]]",,,0.0,,,0.0,,-2.0,-2.0
"[[1, -1, 0], [-1, 0, -1], [1, 0, 0]]",,,-7.0,,-12.0,,,-7.0,-9.0
"[[1, -1, 0], [-1, 0, 0], [1, -1, 0]]",,,0.0,,-5.0,0.0,,,0.0
"[[1, -1, 0], [-1, 0, 0], [1, 0, -1]]",,,-1.0,,-2.0,0.0,,0.0,
"[[1, -1, 0], [-1, -1, 0], [0, 1, 0]]",,,0.0,,,0.0,0.0,,-2.0
"[[1, -1, 0], [-1, 0, -1], [0, 1, 0]]",,,0.0,,-5.0,,-7.0,,-10.0
"[[1, -1, 0], [-1, 0, 0], [-1, 1, 0]]",,,0.0,,-1.0,0.0,,,-4.0
"[[1, -1, 0], [-1, 0, 0], [0, 1, -1]]",,,0.0,,0.0,0.0,0.0,,
"[[1, -1, 0], [-1, -1, 0], [0, 0, 1]]",,,-1.0,,,0.0,0.0,-2.0,
"[[1, -1, 0], [-1, 0, -1], [0, 0, 1]]",,,-2.0,,-18.0,,-5.0,-6.0,
"[[1, -1, 0], [-1, 0, 0], [-1, 0, 1]]",,,-5.0,,-6.0,-4.0,,-2.0,
"[[1, -1, 0], [-1, 0, 0], [0, -1, 1]]",,,-5.0,,-12.0,-7.0,-6.0,,
"[[1, -1, 1], [0, -1, -1], [0, 0, 0]]",,,,-2.0,,,-2.0,0.0,0.0
"[[1, -1, 1], [0, -1, 0], [-1, 0, 0]]",,,,0.0,,-1.0,,0.0,-2.0
"[[1, -1, 1], [0, -1, 0], [0, 0, -1]]",,,,-1.0,,0.0,-1.0,0.0,
"[[1, -1, 0], [1, -1, -1], [0, 0, 0]]",,,-1.0,,,,-14.0,-3.0,-4.0
"[[1, -1, 0], [1, -1, 0], [-1, 0, 0]]",,,0.0,,,0.0,,0.0,0.0
"[[1, -1, 0], [1, -1, 0], [0, 0, -1]]",,,-2.0,,,-2.0,-20.0,-3.0,
"[[1, -1, 0], [0, -1, 1], [-1, 0, 0]]",,,-1.0,0.0,,,,0.0,-3.0
"[[1, -1, 0], [0, -1, 1], [0, 0, -1]]",,,0.0,0.0,,,0.0,0.0,
"[[1, -1, 0], [0, -1, -1], [1, 0, 0]]",,,0.0,-4.0,,,,-2.0,-3.0
"[[1, -1, 0], [0, -1, 0], [1, 0, -1]]",,,-1.0,-10.0,,-2.0,,-2.0,
"[[1, -1, 0], [0, -1, -1], [0, 1, 0]]",,,0.0,-4.0,,,-7.0,,-3.0
"[[1, -1, 0], [0, -1, 0], [-1, 1, 0]]",,,0.0,0.0,,0.0,,,0.0
"[[1, -1, 0], [0, -1, 0], [0, 1, -1]]",,,0.0,-2.0,,0.0,-2.0,,
"[[1, -1, 0], [0, -1, -1], [0, 0, 1]]",,,0.0,-1.0,,,-8.0,-3.0,
"[[1, -1, 0], [0, -1, 0], [-1, 0, 1]]",,,-4.0,0.0,,0.0,,0.0,
"[[1, -1, 1], [0, 0, -1], [-1, 0, 0]]",,,,0.0,-4.0,,,0.0,-3.0
"[[1, -1, 1], [0, 0, -1], [0, -1, 0]]",,,,-4.0,-4.0,,-4.0,,-7.0
"[[1, -1, 1], [0, 0, -1], [0, 0, -1]]",,,,-1.0,-3.0,,-7.0,0.0,
"[[1, -1, 0], [1, 0, -1], [-1, 0, 0]]",,,0.0,,-2.0,,,0.0,-3.0
"[[1, -1, 0], [1, 0, -1], [0, -1, 0]]",,,-3.0,,-7.0,,-8.0,,-8.0
"[[1, -1, 0], [1, 0, -1], [0, 0, -1]]",,,-3.0,,-2.0,,-20.0,-5.0,
"[[1, -1, 0], [0, 1, -1], [-1, 0, 0]]",,,-2.0,-2.0,,,,-3.0,-18.0
"[[1, -1, 0], [0, 1, -1], [0, -1, 0]]",,,-4.0,-6.0,,,-6.0,,-26.0
"[[1, -1, 0], [0, 1, -1], [0, 0, -1]]",,,-1.0,0.0,,,-3.0,0.0,
"[[1, -1, 0], [0, 0, -1], [1, -1, 0]]",,,-4.0,-10.0,-6.0,,,,-7.0
"[[1, -1, 0], [0, 0, -1], [1, 0, -1]]",,,-4.0,-12.0,-3.0,,,-4.0,
"[[1, -1, 0], [0, 0, -1], [-1, 1, 0]]",,,0.0,0.0,-3.0,,,,-5.0
"[[1, -1, 0], [0, 0, -1], [0, 1, -1]]",,,0.0,-1.0,0.0,,-2.0,,
"[[1, -1, 0], [0, 0, -1], [-1, 0, 1]]",,,-2.0,-3.0,-12.0,,,-2.0,
"[[1, -1, 0], [0, 0, -1], [0, -1, 1]]",,,-1.0,-5.0,-14.0,,-2.0,,
"[[1, -1, 1], [0, 0, 0], [-1, -1, 0]]",,,,0.0,-2.0,-2.0,,,-7.0
"[[1, -1, 1], [0, 0, 0], [-1, 0, -1]]",,,,0.0,0.0,0.0,,0.0,
"[[1, -1, 0], [1, 0, 0], [-1, -1, 0]]",,,0.0,,-4.0,-2.0,,,-3.0
"[[1, -1, 0], [1, 0, 0], [-1, 0, -1]]",,,0.0,,-2.0,0.0,,0.0,
"[[1, -1, 0], [0, 1, 0], [-1, -1, 0]]",,,-6.0,-7.0,,-6.0,,,-16.0
"[[1, -1, 0], [0, 1, 0], [-1, 0, -1]]",,,0.0,-2.0,,-1.0,,0.0,
"[[1, -1, 0], [0, 0, 1], [-1, -1, 0]]",,,-4.0,-5.0,-16.0,,,,-7.0
"[[1, -1, 0], [0, 0, 1], [-1, 0, -1]]",,,0.0,-1.0,-3.0,,,0.0,
"[[1, -1, 0], [0, 0, 0], [-1, 1, -1]]",,,0.0,0.0,0.0,0.0,,,
"[[1, -1, 0], [0, 0, 0], [-1, -1, 1]]",,,-1.0,-2.0,-22.0,-7.0,,,
"[[1, -1, 1], [0, 0, 0], [0, -1, -1]]",,,,0.0,-1.0,0.0,-4.0,,
"[[1, -1, 0], [1, 0, 0], [0, -1, -1]]",,,-2.0,,-4.0,-3.0,-16.0,,
"[[1, -1, 0], [0, 1, 0], [0, -1, -1]]",,,-5.0,-5.0,,-2.0,-8.0,,
"[[1, -1, 0], [0, 0, 1], [0, -1, -1]]",,,0.0,-7.0,-2.0,,-1.0,,
"[[1, -1, 0], [0, 0, 0], [1, -1, -1]]",,,-3.0,-12.0,-4.0,-3.0,,,
"[[0, -1, 1], [-1, 1, -1], [0, 0, 0]]",-6.0,,,,,,-20.0,-4.0,-4.0
"[[0, -1, 1], [-1, 1, 0], [-1, 0, 0]]",-3.0,,,,,-1.0,,0.0,-4.0
"[[0, -1, 1], [-1, 1, 0], [0, -1, 0]]",-5.0,,,,,-4.0,-14.0,,-5.0
"[[0, -1, 1], [-1, 1, 0], [0, 0, -1]]",-2.0,,,,,-3.0,-4.0,-1.0,
"[[0, -1, 1], [-1, -1, 1], [0, 0, 0]]",-1.0,,,,,,-1.0,-1.0,-30.0
